,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Regular Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Gender,Age,Number of Dependents,Zip Code,Latitude,Longitude,Population,Churn,CLTV,Total Customer Svc Requests,Product/Service Issues Reported,Referred a Friend_No,Referred a Friend_Yes,Offer_None,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Phone Service_No,Phone Service_Yes,Multiple Lines_No,Multiple Lines_Yes,Internet Service_No,Internet Service_Yes,Internet Type_Cable,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_None,Online Security_No,Online Security_Yes,Online Backup_No,Online Backup_Yes,Device Protection Plan_No,Device Protection Plan_Yes,Premium Tech Support_No,Premium Tech Support_Yes,Streaming TV_No,Streaming TV_Yes,Streaming Movies_No,Streaming Movies_Yes,Streaming Music_No,Streaming Music_Yes,Unlimited Data_No,Unlimited Data_Yes,Contract_Month-to-Month,Contract_One Year,Contract_Two Year,Paperless Billing_No,Paperless Billing_Yes,Payment Method_Bank Withdrawal,Payment Method_Credit Card,Payment Method_Mailed Check,Under 30_No,Under 30_Yes,Senior Citizen_No,Senior Citizen_Yes,Married_No,Married_Yes,Dependents_No,Dependents_Yes
0,0,1,0.0,9,41.236,39.65,0.0,0.0,0.0,1,78,0,90022,34.02381,-118.156582,68701,1,5433,5,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0
1,1,8,48.85,19,83.876,633.3,0.0,120.0,390.8,0,74,1,90063,34.044271,-118.185237,55668,1,5302,5,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1
2,0,18,11.33,57,99.268,1752.55,45.61,0.0,203.94,1,71,3,90065,34.108833,-118.229715,47534,1,3179,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1
3,1,25,19.76,13,102.44,2514.5,13.43,327.0,494.0,0,78,1,90303,33.936291,-118.332639,27778,1,5337,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1
4,1,37,6.33,15,79.56,2868.15,0.0,430.0,234.21,0,80,1,90602,33.972119,-118.020188,26265,1,2793,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1
5,0,27,3.33,20,81.172,2135.5,0.0,427.0,89.91,0,72,1,90660,33.989524,-118.089299,63288,1,4638,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1
6,1,1,15.28,33,73.268,70.45,0.0,0.0,15.28,0,76,2,90720,33.79499,-118.065591,21343,1,3964,7,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1
7,6,58,0.0,26,47.112,2651.2,40.95,689.0,0.0,1,66,0,91024,34.168686,-118.057505,10558,1,5444,2,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0
8,0,15,44.07,21,77.428,1145.7,0.0,241.0,661.05,0,70,2,91106,34.139402,-118.128658,23742,1,5717,3,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1
9,0,7,26.95,20,79.508,503.6,11.05,101.0,188.65,0,77,2,91107,34.159007,-118.087353,32369,1,4419,3,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
10,0,11,11.59,32,98.8,1120.3,0.0,358.0,127.49,0,78,1,91605,34.207295,-118.400022,57146,1,5980,2,2,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1
11,0,15,29.11,32,77.376,1074.3,0.0,344.0,436.65,1,65,0,91722,34.097345,-117.906736,33817,1,4616,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0
12,1,1,0.0,13,41.808,40.2,0.0,0.0,0.0,1,77,0,91732,34.074492,-118.01462,62660,1,5828,2,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0
13,0,3,0.0,31,42.796,132.2,0.0,41.0,0.0,1,67,0,91746,34.038983,-117.991372,30802,1,2314,7,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0
14,0,13,32.68,12,111.176,1364.3,0.0,164.0,424.84,1,68,0,91748,33.976753,-117.897367,46342,1,2494,1,2,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0
